,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
3526,,,,,The Agathas,"['Kathleen Glasgow', 'Liz Lawson']",2022,9780593431139
3527,,,,,First-Year Orientation,"['Eric Smith', 'Lauren Gibaldi']",2023,9781536231588
3528,,,,,The Night in Question,['Kathleen Glasgow'],2023,9780593705360
3529,,,,,Just Like Millie,['Lauren Castillo'],2024,9781536224818
3530,,,,,Nana in the City,['Lauren Castillo'],2014,9780544104433
3531,,,,,Our Friend Hedgehog,['Lauren Castillo'],2020,9781524766719
3532,,,,,The Troublemaker,['Lauren Castillo'],2014,9780547729916
3533,,,,,Nana in the Country,['Lauren Castillo'],2024,9780544102170
3534,,,,,Our Friend Hedgehog: A Place to Call Home,['Lauren Castillo'],2022,9781524766764
3535,,,,,Melvin and the Boy,['Lauren Castillo'],2011,9780805089295
3536,,,,,"A New York, chez mamie",['Lauren Castillo'],2016,9782362900389
3537,,,,,What's Your Favourite Colour?,['Eric Carle'],2018,9781406356526
3538,,,,,Ask the Dark,['Henry Turner'],2015,9780544308275
3539,,,,,Shakespeare's Double Helix,['Henry S. Turner'],2007,9780826491206
3540,,,,,The Corporate Commonwealth,['Henry S. Turner'],2016,9780226363356
3541,,,,,The Wild One,['Terri Farley'],2023,9781665916318
3542,,,,,Wild at Heart,['Terri Farley'],2015,9780544392946
3543,,,,,Phantom Stallion #13: Heartbreak Bronco,['Terri Farley'],2009,9780061890604
3544,,,,,Phantom Stallion #8: Golden Ghost,['Terri Farley'],2009,9780061889226
3545,,,,,Phantom Stallion #5: Free Again,['Terri Farley'],2003,9780064410892
3546,,,,,Phantom Stallion #24: Run Away Home,['Terri Farley'],2009,9780061889820
3547,,,,,PPhantom Stallion: Wild Horse Island #5: Fire Maiden,['Terri Farley'],2009,9780061890338
3548,,,,,Phantom Stallion #7: Desert Dancer,['Terri Farley'],2009,9780061889295
3549,,,,,Phantom Stallion #12: Rain Dance,['Terri Farley'],2004,9780060583132
3550,,,,,Phantom Stallion: Wild Horse Island #4: Castaway Colt,['Terri Farley'],2009,9780061889882
3551,,,,,To Pixar And Beyond,['Lawrence Levy'],2016,9780544734197
3552,,,,,Second Street Station,['Lawrence H. Levy'],2015,9780553418927
3553,,,,,Brooklyn on Fire,['Lawrence H. Levy'],2016,9780553418958
3554,,,,,Last Stop in Brooklyn,['Lawrence H. Levy'],2018,9780451498441
