,author,title,datepublished,isbn13
36632,['Amy Cherrix'],"Good Night, Little Bookshop",2023,9781529510027
36633,['Amy E. Cherrix'],Curious George Discovers the Rainbow,2015,9781484457467
36634,['Amy E. Cherrix'],Animal Superpowers,2023,9781534456280
36635,['Amy Cherrix'],Animal Architects,2022,9786267069844
36636,['Amy Cherrix'],"Good Night, Little Bookstore",2022,9781536212518
36637,['Robert Child'],Immortal Valor,2022,9781472852861
36638,"['Denise George', 'Robert Child']",The Lost Eleven,2017,9781101987391
36639,['Robert Child'],Immortal Valor,2023,9781472852847
36640,['Robert Child'],Washington's Crossing,2016,9781530806317
36641,['Robert Child'],Big War Box Set,2016,9781530768653
36642,['Robert Child'],Gettysburg Voices from the Front,2016,9781530781980
36643,['Robert Child'],The Russian Van Gogh,2013,9781482335538
36644,['Robert Child'],Blood Betrayal,2016,9781530770281
36645,"['Robert Keith Wallace', 'Fred Travis']",Dharma Parenting,2016,9780399185014
36646,['Renee Beauregard Lute'],The Exceptional Maggie Chowder,2021,9780807536803
36647,['Renee Beauregard Lute'],The Exceptional Maggie Chowder,2020,9780807536780
36648,['Renee Beauregard Lute'],Winicker Hates Paris,2017,9781532131110
36649,"['Abdo', 'RENEE BEAUREGARD. LUTE']",Winicker Wallace (Set),2017,9781532130472
36650,['Renee Beauregard Lute'],Winicker and the Baby Wait,2017,9781532130496
36651,['Renee Beauregard Lute'],Winicker and the American Boy,2017,9781532130489
36652,['Renee Beauregard Lute'],Winicker and the Christmas Visit,2017,9781532130502
36653,['Renee Beauregard Lute'],The Exceptional Maggie Chowder,2020,9780807536797
36654,['Johanna Gohmann'],Knock 'Em Dead: Book 4,2018,9781532134241
36655,['Johanna Gohmann'],Book 1: the Howler,2018,9781532130113
36656,['Johanna Gohmann'],Pleased to Eat You: Book 3,2018,9781532134234
36657,['Johanna Gohmann'],The Face in the Photo,2017,9781532130120
36658,['Johanna Gohmann'],Beware the Boomslang: #3,2022,9781098233990
36659,['Johanna Gohmann'],A Meek Adventure: #1,2022,9781098233976
36660,['Johanna Gohmann'],Back to Doubloons: #6,2021,9781098232320
36661,['Johanna Gohmann'],Mystery of the Missing Hook,2021,9781532138881
36662,['Johanna Gohmann'],Art of Making New Mateys,2021,9781532138867
36663,['Johanna Gohmann'],A Tangle of Trees: #2,2022,9781098233983
36664,['Johanna Gohmann'],Trapped!: #4,2022,9781098234003
36665,['Johanna Gohmann'],The Trickster's Plan: #2,2021,9781098232283
36666,['Johanna Gohmann'],The Adventure Begins: #1,2021,9781098232276
36667,['Johanna Gohmann'],Out of Control: #4,2021,9781098232306
36668,['Johanna Gohmann'],Walk the Plank: #3,2021,9781098232290
36669,['Johanna Gohmann'],Beware the Sea Monster!,2021,9781532138874
36670,['Johanna Gohmann'],Whispers of Revolution: #6,2022,9781098234027
36671,['Johanna Gohmann'],Pirate Fest!,2021,9781532138898
36672,['Johanna Gohmann'],Lurching to the Beat: Book 1,2018,9781532134210
36673,['Johanna Gohmann'],Shock and Roll: Book 2,2018,9781532134227
36674,['Johanna Gohmann'],The Pirate Kids Set 2 (Set Of 4),2022,9781644944721
36675,['Johanna Gohmann'],The Hall of Mirrors,2018,9781532130144
36676,['Johanna Gohmann'],A Bad Day at Pirate School,2017,9781532130380
36677,['Johanna Gohmann'],The Fortune Teller,2017,9781532130137
36678,['Johanna Gohmann'],Fortune-tellers: #5,2021,9781098232030
36679,['Johanna Gohmann'],A Spooky Day at Sea,2017,9781532130403
36680,['Johanna Gohmann'],The Very Quiet Parrot,2017,9781532130410
36681,['Johanna Gohmann'],Knock 'Em Dead,2019,9781532133640
36682,['Johanna Gohmann'],The Great Treasure Hunt,2017,9781532130397
36683,['Johanna Gohmann'],Lurching to the Beat,2019,9781532133619
36684,['Johanna Gohmann'],The Pirate Kids,2017,9781532130373
36685,['Johanna Gohmann'],Trapped in Pirate Park (Set),2021,9781098231705
36686,['Johanna Gohmann'],El loro muy callado (The Very Quiet Parrot),2020,9781532139642
36687,['Johanna Gohmann'],Un espeluznante día en el mar (A Spooky Day at Sea),2020,9781532139635
36688,['Johanna Gohmann'],La gran búsqueda del tesoro (The Great Treasure Hunt),2020,9781532139628
36689,['Johanna Gohmann'],Un mal día en la escuela pirata (A Bad Day at Pirate School),2020,9781532139611
36690,['Johanna Gohmann'],Un Mal Día En La Escuela Pirata (a Bad Day at Pirate School),2020,9781532139512
36691,['Claudia Harrington'],My Two Homes,2015,9781629699806
36692,['Claudia Harrington'],The Bicycling Wine Tourist,2015,9781505331967
36693,['Claudia Harrington'],My Grandparents,2015,9781629699769
36694,['Claudia Harrington'],My Two Moms,2015,9781629699813
36695,['Claudia Harrington'],My Military Mom,2015,9781629699776
36696,['Claudia Harrington'],Book 2: Pickles the Very Hungry Pig,2016,9781624022487
36697,['Claudia Harrington'],Book 3: Yum-Yum the Very Spoiled Fish,2016,9781624022494
36698,['Claudia Harrington'],My Two Dads,2015,9781629699790
36699,['Claudia Harrington'],Book 1: Otis the Very Large Dog,2016,9781624022470
36700,['Claudia Harrington'],My Mom and Dad,2015,9781629699783
36701,['Claudia Harrington'],Book 4: Elmer the Very Sneaky Sheep,2016,9781624022500
36702,['Claudia Harrington'],Ralph the Very Quick Chick,2018,9781532131738
36703,['Claudia Harrington'],My Blended Family,2017,9781532130175
36704,['Claudia Harrington'],Fawn the Very Small Deer,2018,9781532131752
36705,['Claudia Harrington'],My Family,2015,9781624021046
36706,['Claudia Harrington'],Pickles the Very Hungry Pig,2017,9781624021886
36707,['Claudia Harrington'],My Adopted Family,2017,9781532130168
36708,['Claudia Harrington'],My First-Generation Family,2018,9781532130182
36709,['Claudia Harrington'],Otis the Very Scared Dog,2018,9781532131769
