,isbn13,datepublished,totalrevenue,totalunits,price
43981,9781783299379.0,2018-10-30,341401,570,625.85101010101
43982,9781783299577.0,2017-10-31,0,0,799.0
43983,9781783299577.0,2017-11-28,0,0,799.0
43984,9781783340972.0,2017-08-23,115577,283,620.2597173144876
43985,9781783341030.0,2017-11-22,217695,257,939.4617283950618
43986,9781783350926.0,2018-05-01,37838,36,1023.565934065934
43987,9781783351091.0,2017-07-04,176177,108,1551.2584615384615
43988,9781783351190.0,2017-05-02,183245,134,1394.1444695259593
43989,9781783351251.0,2017-01-03,62651,103,647.578231292517
43990,9781783351428.0,2018-05-14,228508,258,849.5945945945946
43991,9781783351442.0,2017-10-31,115294,164,686.4511784511784
43992,9781783351633.0,2018-10-30,58800,53,1123.7755102040817
43993,9781783351954.0,2019-11-05,107639,125,890.5321100917431
43994,9781783376636.0,2012-12-19,6741,8,738.8
43995,9781783376636.0,2013-06-25,9636,12,822.7058823529412
43996,9781783379200.0,2009-04-22,3095,5,339.0
43997,9781783379255.0,2013-07-30,7284,16,436.81159420289856
43998,9781783379255.0,2020-01-31,0,0,899.0
43999,9781783400034.0,2013-04-26,6843,21,520.6206896551724
44000,9781783404551.0,2013-06-19,0,0,199.0
44001,9781783404551.0,2013-08-16,199,1,199.0
44002,9781783405718.0,2013-06-25,22353,27,821.3076923076923
44003,9781783405718.0,2020-01-24,1798,2,899.0
44004,9781783405817.0,2013-06-25,2397,3,799.0
44005,9781783405848.0,2013-08-16,3980,20,224.92592592592592
44006,9781783405848.0,2019-02-20,14736,35,744.9032258064516
44007,9781783406050.0,2013-08-16,4847,13,372.75
44008,9781783406111.0,2006-06-19,150677,777,238.71363636363637
44009,9781783406111.0,2013-08-16,167890,823,202.39609236234458
44010,9781783406111.0,2019-12-04,0,0,199.0
44011,9781783406111.0,2020-01-31,10073,17,806.551724137931
