,Author,Title,PublishedDate,ISBN13
131,['Bridget Heos'],"Twinkle, Twinkle, Little Lamb",2018,9781681524054
132,['Bridget Heos'],Vampires in Literature,2011,9781448812257
133,['Bridget Heos'],The Alkaline Earth Metals,2009,9781435853317
134,['Bridget Heos'],Wisconsin,2009,9781435855847
135,['Bridget Heos'],Ronde and Tiki Barber,2010,9781435835535
136,['Bridget Heos'],The Creation of Peninsulas,2009,9781615311330
137,['Bridget Heos'],Kofi Kingston,2011,9781448855353
138,['Bridget Heos'],What Are Measurements?,2014,9781622755073
139,['Bridget Heos'],Jay-Z (the Library of Hip-Hop Biographies) (Large Print 16pt),2011,9781459621831
140,['Bridget Heos'],Do You Really Want to Visit Jupiter?,2022,9781684521982
141,['Bridget Heos'],Triple H,2011,9781448855391
142,['Bridget Heos'],Raising Chickens,2013,9781477717875
143,['Bridget Heos'],Jarring and Canning,2013,9781477717806
144,['Bridget Heos'],Do You Really Want a Rabbit?,2014,9781622431878
145,['Bridget Heos'],Do You Really Want to Visit Saturn?,2014,9781622431946
146,['Bridget Heos'],So You Want to Grow a Salad?,2016,9781681520148
147,['Bridget Heos'],Do You Really Want to Meet a Wolf?,2017,9781681521206
148,['Bridget Heos'],From Peanuts to Peanut Butter,2018,9781681521480
149,['Bridget Heos'],Do You Really Want to Meet an Owl?,2017,9781681521190
150,['Bridget Heos'],Do You Really Want to Meet a Badger?,2017,9781681521152
151,['Bridget Heos'],From Milk to Ice Cream,2017,9781681511214
152,['Bridget Heos'],Make Money! Have a Lemonade Stand,2014,9781607533610
153,['Bridget Heos'],Be Safe Around Fire,2015,9781622432554
154,['Bridget Heos'],Follow That Garbage!,2016,9781622433551
155,['Bridget Heos'],Make Money! Do Yard Work,2014,9781607533634
156,['Bridget Heos'],Do You Really Want to Meet a Hippopotamus?,2017,9781681521176
157,['Bridget Heos'],Do You Really Want to Meet an Orca?,2017,9781681521183
158,['Bridget Heos'],Telling Time,2015,9781622432370
159,"['Workman Publishing', 'Kim Tredick', 'Bridget Heos', 'Claire Piddock']",Summer Brain Quest: Between Grades 5 And 6,2017,9780761193289
160,['Bridget Heos'],Do You Really Want a Cat?,2014,9781607532033
161,['Bridget Heos'],From Cocoa Beans to Chocolate,2018,9781681521459
162,['Bridget Heos'],Do You Really Want a Turtle?,2015,9781607537526
163,['Bridget Heos'],Follow that Tap Water!,2016,9781622433544
164,['Bridget Heos'],Do You Really Want to Visit Uranus?,2014,9781622431960
165,['Bridget Heos'],Do You Really Want a Bird?,2014,9781607532057
166,['Bridget Heos'],Follow That Paper!,2016,9781607539650
167,['Bridget Heos'],Make Money! Wash Cars,2014,9781622431809
168,['Bridget Heos'],Wash Cars,2014,9781607533641
169,['Bridget Heos'],Getting a Job in Hair Care and Makeup,2013,9781448896110
170,['Bridget Heos'],Making Graphs,2015,9781622432356
171,['Bridget Heos'],So You Want to Grow a Pizza?,2015,9781607537403
172,['Bridget Heos'],What Is the Sun?,2014,9781622754632
173,['Bridget Heos'],Do You Really Want to Visit Neptune?,2013,9781607532019
174,['Bridget Heos'],Polluted Water and Your Vital Organs,2012,9781448884124
175,"['Workman Publishing', 'Bridget Heos']",Summer Brain Quest: Between Grades Pre-K & K,2018,9781523502998
176,['Bridget Heos'],So You Want to Grow a Pie?,2016,9781681520124
177,['Bridget Heos'],Alabama,2010,9781435884878
178,['BRIDGET. HEOS'],Make Money! Classroom Collection,2014,9781622431816
179,['Bridget Heos'],Yetis and Yumi Soup,2022,9781942337324
180,['BRIDGET. HEOS'],BE SAFE BUNDLE.,2015,9781622432615
181,['Bridget Heos'],Do You Really Want a Snake?,2015,9781607538509
182,"['Bridget Heos', 'THOMAS K. ADAMSON']",Do You Really Want to Visit the Planets? Clasroom Collection,2013,9781622431977
183,['Bridget Heos'],Do You Really Want a Guinea Pig?,2016,9781607538486
184,['Bridget Heos'],Follow that Paper!,2017,9781681510835
185,['Bridget Heos'],Do You Really Want to Visit a Desert?,2015,9781607536659
186,['Bridget Heos'],Do You Really Want to Visit a Rainforest?,2015,9781607536680
187,['Bridget Hoes'],Make Money! Have a Lemonade Stand,2014,9781607534099
188,['Bridget Heos'],没病也要看医生吗?,2016,9787516723524
189,"['希尔斯 ((女, Heos, Bridget))']",餐厅礼仪,2021,9787554563311
190,['Bridget Heos'],What to Expect When You're Expecting Joeys,2011,9780761380436
191,['Bridget Heos'],A Career as a Hairstylist,2010,9781435894747
192,['Bridget Heos'],Who Wants to Be a Princess?,2017,9780805097696
193,['Bridget Heos'],The Brain in Your Body,2015,9781622756391
194,['Bridget Heos'],Raising Chickens,2013,9781477717790
195,['Bridget Heos'],I'm a Volcano!,2022,9780593302903
196,['Bridget Heos'],Wisconsin,2009,9781615311255
197,"['Workman Publishing', 'Bridget Heos', 'Claire Piddock']",Summer Brain Quest: Between Grades 4 & 5,2017,9780761189206
198,['Bridget Heos'],Kofi Kingston,2011,9781448856084
199,['Bridget Heos'],Let's Meet a Construction Worker,2013,9781467710435
200,['Bridget Heos'],Rey Mysterio,2011,9781448856077
201,['Bridget Heos'],Vampires in Literature,2011,9781448823932
202,['Bridget Heos'],Jay-Z,2009,9781435850521
203,"['Workman Publishing', 'Bridget Heos']",Star Wars Workbook: 4th Grade Reading and Writing,2017,9780761189398
204,['Bridget Heos'],Triple H,2011,9781448856091
205,['Bridget Heos'],What Are Measurements?,2014,9781622755097
206,['Bridget Heos'],Just Like Us! Plants,2018,9781328544285
207,['Bridget Heos'],"Arrr, Mustache Baby!",2019,9780358063384
208,['Isabel Atherton'],Zombie Cat,2012,9781616088842
209,['Isabel Atherton'],Ruby Moo's Deep-Sea Adventure!,2014,9781632202246
210,['Isabel Atherton'],Smelly Ghost,2013,9781628733631
211,['Isabel Atherton'],Springy Chicken,2014,9781628739442
212,['Duncan Hamilton'],For the Glory,2016,9780698170735
213,['Duncan Hamilton'],Harold Larwood,2017,9781849164566
214,"['Duncan Hamilton', 'Lionel Scott']",Touch Wood!,1990,9780951694503
215,['Duncan Hamilton'],Touch Wood - The Autobiography of the 1953 Le Mans Winner,2014,9781784180812
216,['Duncan M. Hamilton'],Knight of the Silver Circle,2019,9781250306807
217,['Duncan Hamilton'],A Last English Summer,2011,9780857383044
