,Author,Title,PublishedDate,ISBN13
17837,"['Bill Anderson', 'Peter Michael Cooper']",Whisperin' Bill Anderson,2016,9780820349664
17838,['Bill Wright'],The Whole Damn Cheese,2019,9780875657073
17839,['Bill Allen'],Livin'... Lovin'... and Laughin',2010,9780557297634
17840,"['Jordan Sprechman', 'Bill Shannon']",This Day in New York Sports,1998,9781571672544
17841,"['Bill Fleischman', 'Al Pearce']",The Unauthorized Nascar Fan Guide,2004,9780681275874
17842,['Susan Imhoff Bird'],Howl,2015,9781937226480
17843,"['Lynn ""Doc"" Cleland', 'Susan Imhoff Bird']",Faith Greater Than Pain,2012,9781479351770
17844,['Susan Imhoff'],Timelines of World History,1998,9781858338545
17845,['Srdjan Smajić'],"Ghost-Seers, Detectives, and Spiritualists",2010,9781139485883
17846,['A. N. Kang'],My Big Bad Monster,2019,9781368026734
17847,['A. N. Kang'],"The Very Fluffy Kitty, Papillon",2018,9781368039734
17848,['A. N. Kang'],Papillon Goes to the Vet,2017,9781368013055
17849,['A. N. Kang'],"The Very Fluffy Kitty, Papillon",2018,9781484788455
17850,"['Min Xu', 'Xiaomin An', 'Wei Kang', 'Guangning Li']",Modern Computational Aeroelasticity,2020,9783110576689
17851,['An Kang'],Sketchbook,2020,9798682231546
17852,"['B. T. Kang', 'A. N. Atta-krah', 'L. Reynolds']",Alley Farming,1999,9780333600801
17853,['David J. Whyte'],Scotland,1998,9781901522181
17854,"['David J. Shayler', 'Shayler David']",Apollo,2002,9781852335755
17855,['David McFadden'],An Innocent in Scotland,2016,9780771061363
17856,['David R Ross'],Desire Lines,2020,9781913025809
17857,['David Whyte'],Scotland,1995,9780861905652
17858,"['Lanny Daise', 'Julie Casey']",Seeking the Green Flash,2014,9780692314500
17859,['Daniel Genis'],Sentence,2022,9780698405769
17860,"['Daniel Way', 'Brian Michael Bendis', 'Reginald Hudlin', 'Ed Brubaker']",House of M,2006,9781302013943
17861,['Daniel Plumet'],"Un peintre, un homme … Constant - Itinéraire d'un artiste contemporain",2015,9782312032856
17862,"['David Jemal', 'Kara Leigh Miller']",Warped Remains,2020,9781947327658
17863,"['Özge UYSAL ŞAHİN', 'Halide OKUMUŞ ', 'Deniz GÖKDUMAN', 'Kerem İŞCANOĞLU ', 'Vildan IŞIK ŞEN ', 'Fatih BALCI', 'Erdal KARA', 'Veli KARGI', 'Neslihan ÇELİK ', 'Yağmur AKARSU & Nur DİLBAZ ALACAHAN', 'Hamdi Furkan GÜNAY & Veli KARGI', 'Halis KALMIŞ', 'Aysen ŞİMŞEK KANDEMİR & Mustafa ŞİMŞEK', 'Hale ÇOLAKOĞLU & Nilay KÖLEOĞLU', 'Begüm AYTEMUR', 'Hülya YILDIRIM  ', 'Zyinat ESENALIEVA', 'Gülnur AYDIN & Selcen AYDOĞAN  ', 'Ela Ayşe KÖKSAL ', 'Münip Melih KORUKÇU', 'M  Fatih KARAGÜL', 'Derya AYDOĞDU', 'Ramiro  Sebastian  VARGAS ', ' Lourdes  RUIZ', ' Maria  Cristina  Navas  LEMA ', ' Mustahsan SHUAIB', 'Esmeralda KADËNA ', 'Vladlen SHAPO', 'Nilsun SARIYER & Muammer CEYLAN', 'Onur ÖZDEN & Serdar SÜNNETÇİOĞLU & Ferah ÖZKÖK', 'Özge UYSAL ŞAHİN ', ' Mehmet ŞAHİN', 'Gökhan GÖKULU ', 'Serhat ÇOBAN', 'Ayhan GÖKTEPE ', ' Hilal KIVANÇ', 'Sultan GÜÇLÜ ', ' Yasemin DELİBAŞ ', 'Ayşe Nur ÇETİN', 'Zehra MOLU', 'Ali GELİR   ', ' Ilgım PEKACAR ', ' Merve KOCAMAN', 'Alper ÖZEL ', ' Meriç DÖNER', 'Ece SİMOOĞLU SARI ', 'Aysen ŞİMŞEK KANDEMİR', 'İbrahim YORGUN', 'Semra KILIÇ KARATAY', 'Naile Rengin OYMAN', 'Ayşe TANRIVER CELASİN ', 'Aslı MURATLI ', ' Mehmet Rıza GEZEN', 'Mert GÜRKAN', ' Selin ERTÜRK GÜRKAN ', 'Fatma Selin BASKIN', 'Pınar ÖZTÜRK DEMİRTAŞ', 'Ayten DİNÇ ', 'Ayşin AŞKIN', 'Hülya ERTEKİN ', 'Yusuf Haydar ERTEKİN', 'Ertuğ ÖNER ', ' Serdar VARDAR', 'Bülent GÜNER', 'Lale ORTA', 'Sultan GÜÇLÜ', ' Ayşe Nur ÇETİN ', 'Yasemin DELİBAŞ', 'İslam Enes KAHRAMAN', 'Маkashev Zh K,', 'Zeylan KURT', ' Bahattin HAMARAT   ', 'Murat GÜMÜŞ', 'Ebru KARAMAN', 'Şenol ÇELİK   ', 'Turgay ŞENGÜL ', 'Bünyamin SÖĞÜT', ' Hakan İNCİ ', 'Ömer ŞENGÜL', 'Nevin EFE ', 'M Fatih KARAGÜL', 'Özlem EROL TINAZTEPE ', 'Hülya KADIOĞLU ', 'Hilal CELİK', '  Murat GÜLER ', 'Çiğdem ARICIGİL ÇİLAN ', 'Engin KARAMAN']",II.Uluslararası Rating Academy Kongresi: UMUT BİLDİRİLER,2018,9786056886713
17864,['Randy Gage'],Mad Genius,2016,9780399175565
17865,['Randy Gage'],"Why You're Dumb, Sick and Broke...And How to Get Smart, Healthy and Rich!",2010,9781118039007
17866,['Randy Gage'],Risky is the New Safe,2012,9781118481479
17867,['Randy Gage'],Direct Selling Success,2019,9781119594550
17868,['Randy Gage'],101 Keys to Your Prosperity,2003,9780971557840
17869,['Randy Gage'],Defcon 1 Direct Selling,2020,9781119642114
17870,['Randy Gage'],Radical Rebirth,2020,9781884667374
17871,['Randy Gage'],Prosperity Mind,2003,9780971557864
17872,['Randy Gage'],37 Secrets about Prosperity,2003,9780971557871
17873,['Randy Gage'],How to build a multi-level money machine,2001,9780967316468
17874,['Barbara Lynch'],Stir,2019,9780547417363
17875,['Barbara Lynch'],Out of Line,2017,9781476795447
17876,['Barbara A. Lynch-Johnt'],iPhone Photography for Everybody,2020,9781682034415
17877,['Barbara Lynch'],Joey's Free Fall,2022,9781098032913
17878,['Pst. Barbara Lynch'],Transformation,2020,9780986157295
17879,['Barbara A. Lynch-Johnt'],Niagara Falls for Everybody,2017,9781682033234
17880,"['Barbara Lynch', 'J. Edward Lynch']",Principles and Practices of Structural Family Therapy,2001,9780939266364
17881,['Pst. Barbara B. Lynch'],Repentance,2021,9781735175317
17882,['Pastor Barbara Lynch'],From the Potter's Heart,2017,9780986157240
17883,['Barbara Lynch Miller'],Murder on the Teebox,2004,9781414044958
17884,['Barbara Lynch Hill'],Summerville,1998,9780966397604
17885,['Barbara A. Lynch-Johnt'],Niagara Falls for Everybody,2017,9781682033227
17886,['Barbara Lynch'],The Couple and Couples Therapy,2012,9781477572252
17887,"['Barbara A Lynch-Johnt', 'Michelle Perkins']",Illustrated Dictionary of Photography,2008,9781608951314
